n,dist,p
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
1000,0.1,0.001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
10000,0.1,0.0001
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100000,0.1,1e-05
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
100,0.2,0.01
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
1000,0.2,0.001
